"Participant","pair","condition","ACC","RT","reward"
"P01",2,"N",0,1.63281092619,0
"P01",1,"N",1,1.43290847697,1
"P01",2,"N",-1,NA,0
"P01",1,"N",1,1.14964977087,1
"P01",1,"N",1,0.866431521449,1
"P01",1,"N",1,0.699828747795,0
"P01",2,"N",0,1.14965218287,0
"P01",2,"N",1,0.983059685793,0
"P01",2,"N",0,0.899761223745,0
"P01",3,"N",0,0.966408508175,0
"P01",2,"N",0,0.783106124367,1
"P01",2,"N",1,1.1662502062,1
"P01",3,"N",1,0.88309222678,1
"P01",3,"N",1,0.783118223479,0
"P01",1,"N",1,1.14969983045,1
"P01",2,"N",1,1.3662326064,0
"P01",1,"N",1,1.01633107597,0
"P01",2,"N",1,1.38292376552,1
"P01",3,"N",1,0.933111885204,0
"P01",1,"N",1,1.13300082179,1
"P01",3,"N",1,0.783123621914,0
"P01",2,"N",0,0.683154869682,0
"P01",2,"N",1,1.16634224727,1
"P01",1,"N",1,1.33296063277,1
"P01",3,"N",1,0.999713407743,1
"P01",2,"N",0,0.999712649857,0
"P01",3,"N",1,0.849715030281,1
"P01",3,"N",1,0.616510698,1
"P01",1,"N",0,1.34956635527,0
"P01",1,"N",1,1.19969528163,1
"P01",3,"N",1,0.699810760028,1
"P01",1,"N",1,0.983058191073,1
"P01",2,"N",1,1.09949751544,1
"P01",2,"N",1,0.816421297504,1
"P01",3,"N",1,0.566516636278,1
"P01",2,"N",1,0.816434425175,0
"P01",3,"N",1,0.549861714341,0
"P01",1,"N",1,0.733140140524,1
"P01",2,"N",1,0.799791033935,0
"P01",1,"N",1,0.733140155562,1
"P01",3,"N",1,0.583186532483,1
"P01",3,"N",1,0.499876115683,0
"P01",1,"N",1,0.866446122788,1
"P01",3,"N",1,0.766499674064,1
"P01",1,"N",0,0.916430001165,1
"P01",3,"N",1,1.14965976474,0
"P01",3,"N",1,0.666462119601,0
"P01",3,"N",1,0.766497334241,1
"P01",2,"N",1,1.04969071176,1
"P01",1,"N",0,1.24966575565,0
"P01",3,"N",1,0.599841752161,1
"P01",1,"N",0,1.01640636835,1
"P01",3,"N",1,1.04970041992,1
"P01",1,"N",1,1.43276921839,1
"P01",2,"N",1,0.833105292797,1
"P01",1,"N",1,0.866417181761,1
"P01",3,"N",0,0.699815084793,1
"P01",1,"N",1,0.749800728564,1
"P01",2,"N",1,0.783127573749,1
"P01",2,"N",0,0.899750520107,1
"P01",3,"N",1,0.816444909268,1
"P01",3,"N",0,0.53318584828,1
"P01",2,"N",0,0.29995073439,0
"P01",3,"N",1,0.8664359214,0
"P01",1,"N",1,0.666469927031,1
"P01",3,"N",1,0.399919790379,1
"P01",1,"N",1,0.466553071959,1
"P01",3,"N",1,0.383238408589,0
"P01",2,"N",0,0.383260919614,0
"P01",3,"N",1,0.78316171171,1
"P01",1,"N",0,1.09968262914,0
"P01",1,"N",0,1.04969588163,0
"P01",1,"N",1,0.883103622139,1
"P01",1,"N",1,0.7664905674,1
"P01",3,"N",1,0.866405684146,1
"P01",1,"N",1,1.19963568531,1
"P01",3,"N",1,0.53319443465,1
"P01",2,"N",1,0.99976447183,0
"P01",1,"N",1,0.916416241922,1
"P01",2,"N",1,1.13299926993,1
"P01",2,"N",1,1.13300189547,0
"P01",3,"N",1,0.599865721815,1
"P01",3,"N",1,0.583207172851,0
"P01",1,"N",1,1.19964763104,0
"P01",1,"N",1,0.833085966699,1
"P01",3,"N",1,0.649833468044,1
"P01",1,"N",1,0.716480860742,1
"P01",3,"N",1,0.583165828957,1
"P01",2,"N",1,1.31631249873,1
"P01",3,"N",1,0.633177965662,0
"P01",2,"N",1,0.999711317541,1
"P01",1,"N",1,0.666497234994,1
"P01",1,"N",1,0.733135782679,1
"P01",3,"N",1,0.733134414273,0
"P01",1,"N",1,0.516554267433,0
"P01",1,"N",1,0.616506273989,1
"P01",3,"N",1,0.583182237795,1
"P01",2,"N",1,0.849731809039,1
"P01",1,"N",1,0.783113453607,0
"P01",2,"N",1,0.699840738638,0
"P01",2,"N",0,0.583198291749,0
"P01",2,"N",1,1.13302328169,0
"P01",1,"N",1,0.999778459642,1
"P01",1,"N",1,0.54986852028,1
"P01",3,"N",1,0.749793892551,1
"P01",2,"N",1,0.96637708898,1
"P01",2,"N",1,0.883102584557,1
"P01",3,"N",1,0.533197535366,1
"P01",2,"N",1,0.733151379496,1
"P01",2,"N",1,0.86643486878,0
"P01",3,"N",1,0.749798373703,0
"P01",2,"N",1,0.733111205513,1
"P01",2,"N",1,0.816473333008,1
"P01",3,"N",1,0.649843272444,1
"P01",1,"N",1,0.983060554957,1
"P01",2,"N",1,0.716529058695,1
"P01",2,"N",1,0.766491517766,1
"P01",3,"N",1,0.683153146393,0
"P01",1,"N",1,0.683153350902,0
"P01",2,"N",1,0.666494675624,0
"P01",2,"N",1,0.983086112563,1
"P01",2,"N",1,0.699816254704,1
"P01",1,"N",1,0.899764189126,1
"P01",2,"N",1,0.633156438085,0
"P01",3,"N",0,1.09968698398,1
"P01",2,"N",1,0.916435989067,0
"P01",3,"N",1,1.34958726631,1
"P01",3,"N",1,0.616513073913,1
"P01",2,"N",1,0.849777468675,1
"P01",1,"N",1,0.766440354432,1
"P01",2,"N",0,1.56635942001,1
"P01",3,"N",0,1.11636049518,1
"P01",1,"N",1,1.5828315019,1
"P01",2,"N",1,1.31631290474,1
"P01",1,"N",1,1.04969617636,1
"P01",3,"N",1,0.799776946877,1
"P01",1,"N",0,1.34962166291,1
"P01",3,"N",0,0.949766677819,0
"P01",2,"N",1,0.949736693195,1
"P01",2,"N",1,0.833104420627,1
