"Participant","RT","symb1","symb2","choice","condition"
"P01",NA,"D","B",NA,"N"
"P01",1.64950338455,"D","F","F","N"
"P01",1.04967697056,"B","C","C","N"
"P01",1.3495974677,"D","E","E","N"
"P01",1.28290944388,"B","F","F","N"
"P01",0.899751091529,"E","B","E","N"
"P01",1.03302554633,"D","A","A","N"
"P01",0.66651365586,"C","B","C","N"
"P01",0.549868108254,"A","B","A","N"
"P01",1.13299389857,"A","E","A","N"
"P01",0.849745727679,"B","E","E","N"
"P01",0.73318294305,"A","F","A","N"
"P01",1.31627834573,"F","D","D","N"
"P01",0.84969147566,"C","A","C","N"
"P01",0.883113910746,"C","F","C","N"
"P01",1.03304337169,"E","C","C","N"
"P01",0.883336852592,"E","D","E","N"
"P01",1.36630413943,"F","B","F","N"
"P01",0.999755338098,"E","A","A","N"
"P01",0.733113921273,"C","E","C","N"
"P01",0.76646355417,"F","C","C","N"
"P01",0.783086058429,"A","D","A","N"
"P01",0.916414981786,"F","A","F","N"
"P01",0.516538442047,"B","A","A","N"
"P01",0.816472942035,"A","C","C","N"
"P01",1.14969589967,"B","D","B","N"
"P01",0.849801492464,"D","C","C","N"
"P01",0.699779527298,"C","D","C","N"
"P01",0.883061887273,"E","F","E","N"
"P01",0.466564265816,"F","E","E","N"
"P01",0.499888214794,"E","D","E","N"
"P01",0.766454342245,"F","E","E","N"
"P01",0.499869499217,"C","A","C","N"
"P01",0.633180597211,"B","E","E","N"
"P01",0.716469781168,"B","C","C","N"
"P01",0.549897482359,"A","C","A","N"
"P01",0.999738345809,"B","F","F","N"
"P01",0.999730099284,"B","D","D","N"
"P01",0.883085932113,"E","F","E","N"
"P01",0.916442340875,"A","D","A","N"
"P01",0.849795116597,"F","B","F","N"
"P01",0.766456387335,"D","E","E","N"
"P01",0.583202598467,"E","A","A","N"
"P01",0.799825755348,"C","B","C","N"
"P01",0.566500678564,"E","C","C","N"
"P01",0.533199036101,"C","E","C","N"
"P01",0.499873108198,"A","B","A","N"
"P01",0.716476653271,"D","A","A","N"
"P01",0.499863222596,"A","F","A","N"
"P01",0.466546705113,"D","C","C","N"
"P01",0.733158558362,"D","F","F","N"
"P01",0.483230153042,"F","A","F","N"
"P01",1.21631419194,"D","B","D","N"
"P01",0.866411353256,"F","D","F","N"
"P01",0.566537180408,"B","A","A","N"
"P01",0.566524816637,"C","F","C","N"
"P01",0.616455333211,"F","C","C","N"
"P01",0.649830442513,"E","B","E","N"
"P01",0.599854010668,"C","D","C","N"
"P01",0.983076900637,"A","E","E","N"
"P01",0.849784809945,"D","F","D","N"
"P01",0.583152520836,"D","A","A","N"
"P01",0.549863711312,"E","F","E","N"
"P01",0.583176192749,"F","B","F","N"
"P01",0.783155534336,"D","E","E","N"
"P01",0.633179201739,"A","E","A","N"
"P01",0.466561372616,"B","A","A","N"
"P01",0.649828704187,"F","C","C","N"
"P01",0.533250334771,"E","A","E","N"
"P01",0.466583029514,"F","E","E","N"
"P01",0.549874466076,"F","D","F","N"
"P01",0.41658066112,"B","E","E","N"
"P01",0.449894477881,"C","B","C","N"
"P01",0.983150232139,"A","F","A","N"
"P01",0.666505352196,"E","D","E","N"
"P01",0.633218329116,"C","E","C","N"
"P01",0.799780591949,"F","A","A","N"
"P01",0.683205073627,"B","F","F","N"
"P01",0.899749975752,"D","B","D","N"
"P01",0.549856881313,"C","A","C","N"
"P01",0.783131492501,"E","B","E","N"
"P01",0.949708573211,"A","C","C","N"
"P01",0.516541599907,"D","C","C","N"
"P01",0.649832237983,"C","D","C","N"
"P01",0.5332076345,"B","C","C","N"
"P01",0.833100366537,"B","D","B","N"
"P01",0.866428853809,"E","C","C","N"
"P01",0.616493423006,"A","D","A","N"
"P01",0.516487627583,"A","B","A","N"
"P01",0.666465256407,"C","F","C","N"
"P01",1.04972211291,"C","E","C","N"
"P01",0.549897425217,"D","C","C","N"
"P01",0.549870327779,"B","A","A","N"
"P01",0.716479272791,"E","F","E","N"
"P01",0.983025262121,"E","C","C","N"
"P01",0.599851932497,"C","D","C","N"
"P01",0.783124503108,"E","A","A","N"
"P01",0.399953092257,"C","B","C","N"
"P01",0.516541386376,"C","F","C","N"
"P01",0.549866553385,"E","B","B","N"
"P01",0.233322066293,"B","C","B","N"
"P01",0.833104291305,"E","D","E","N"
"P01",0.716449970865,"B","D","D","N"
"P01",0.599844690474,"F","A","A","N"
"P01",0.733092841811,"D","F","F","N"
"P01",0.716476836727,"B","E","E","N"
"P01",0.733184735511,"A","F","A","N"
"P01",0.883059273767,"F","B","F","N"
"P01",0.649864523333,"A","D","A","N"
"P01",0.833119319706,"D","A","A","N"
"P01",1.26628831404,"A","B","A","N"
"P01",0.799818290772,"C","A","C","N"
"P01",0.516540860066,"F","C","C","N"
"P01",0.883084696037,"D","E","E","N"
"P01",0.649789639967,"F","E","E","N"
"P01",1.53280551873,"A","C","C","N"
"P01",0.916422031331,"B","F","F","N"
"P01",0.683157759875,"A","E","E","N"
"P01",0.816423877926,"D","B","D","N"
"P01",0.883087850889,"F","D","F","N"
"P01",0.949753065943,"B","D","D","N"
"P01",0.71648385319,"F","C","C","N"
"P01",0.499890717023,"C","B","C","N"
"P01",0.516547747206,"B","E","E","N"
"P01",0.816453396392,"C","E","C","N"
"P01",0.633139460833,"E","B","E","N"
"P01",0.816466912027,"A","E","E","N"
"P01",0.583182063361,"D","A","A","N"
"P01",0.449899798123,"C","D","C","N"
"P01",0.433207072101,"E","C","C","N"
"P01",0.449909996503,"A","B","A","N"
"P01",0.499874915697,"E","F","E","N"
"P01",0.499885093026,"F","A","F","N"
"P01",0.466535442081,"D","F","D","N"
"P01",0.582926622632,"A","D","A","N"
"P01",0.999741395399,"E","A","A","N"
"P01",0.44989779213,"E","D","E","N"
"P01",0.48319514592,"D","E","E","N"
"P01",0.683155582457,"F","D","F","N"
"P01",0.499876735224,"F","E","E","N"
"P01",0.683178207764,"B","C","C","N"
"P01",0.43310898599,"D","C","C","N"
"P01",0.866445127311,"A","F","A","N"
"P01",0.499894608707,"D","B","B","N"
"P01",0.583208339754,"B","A","A","N"
"P01",0.916390973034,"B","F","F","N"
"P01",0.916352323846,"C","A","C","N"
"P01",0.499895811701,"A","C","C","N"
"P01",0.76641352466,"F","B","F","N"
"P01",0.699850112969,"C","F","C","N"
"P01",0.68318107089,"F","E","F","N"
"P01",0.533210996869,"E","C","E","N"
"P01",1.33314761713,"D","F","F","N"
"P01",0.549894670361,"E","B","E","N"
"P01",0.616482971996,"D","E","E","N"
"P01",0.533222205764,"B","A","A","N"
"P01",0.383288943358,"D","A","A","N"
"P01",0.416601274421,"B","E","E","N"
"P01",0.466559989174,"A","F","F","N"
"P01",0.633161938777,"C","A","A","N"
"P01",0.699811950992,"A","B","A","N"
"P01",0.566523700862,"B","C","C","N"
"P01",0.916408539753,"A","C","C","N"
"P01",0.516507678485,"E","D","E","N"
"P01",0.566530879727,"F","C","C","N"
"P01",0.583184400177,"F","B","F","N"
"P01",0.599844149127,"C","B","C","N"
"P01",0.516544971297,"D","C","C","N"
"P01",1.08302032684,"C","E","C","N"
"P01",1.64946556843,"A","E","A","N"
"P01",0.649842974704,"B","D","D","N"
"P01",0.949695845535,"F","D","F","N"
"P01",0.449872135276,"E","A","E","N"
"P01",0.999745933692,"F","A","A","N"
"P01",0.999716971613,"C","F","C","N"
"P01",1.09965418435,"E","F","E","N"
"P01",0.633185800159,"B","F","F","N"
"P01",0.949714392695,"D","B","D","N"
"P01",0.499857691831,"C","D","C","N"
"P01",0.99970426499,"A","D","A","N"
"P02",1.34960524503,"D","A","A","N"
"P02",1.5828503421,"B","F","B","N"
"P02",1.13302702215,"F","A","A","N"
"P02",1.36625857957,"B","E","E","N"
"P02",1.26624835115,"F","C","F","N"
"P02",0.566515883972,"C","E","C","N"
"P02",0.916392108389,"E","C","C","N"
"P02",1.41619586172,"D","B","D","N"
"P02",1.23297178088,"E","F","E","N"
"P02",0.983049839852,"A","B","A","N"
"P02",1.16637690561,"B","D","B","N"
"P02",0.666504482639,"C","F","C","N"
"P02",0.91640716681,"C","A","C","N"
"P02",1.28291440129,"F","D","D","N"
"P02",1.23299379558,"A","E","A","N"
"P02",1.23301252011,"C","D","C","N"
"P02",0.966405996902,"C","B","C","N"
"P02",0.96643836634,"D","F","F","N"
"P02",0.883082973188,"D","E","E","N"
"P02",1.04971718621,"E","D","E","N"
"P02",0.833098401527,"B","C","C","N"
"P02",0.866414992256,"D","C","C","N"
"P02",0.766441852002,"A","F","A","N"
"P02",0.933078308597,"A","D","A","N"
"P02",0.98305057969,"B","A","A","N"
"P02",1.11635505331,"F","B","F","N"
"P02",0.949740178343,"E","B","E","N"
"P02",0.883086747568,"E","A","A","N"
"P02",1.01637096886,"F","E","F","N"
"P02",0.916383458895,"A","C","C","N"
"P02",0.716473989865,"E","C","C","N"
"P02",0.999721249304,"F","B","F","N"
"P02",0.966399837596,"A","B","A","N"
"P02",0.749762683268,"D","A","A","N"
"P02",0.916379898047,"B","F","F","N"
"P02",0.916361167501,"B","D","B","N"
"P02",0.866422829732,"D","E","E","N"
"P02",0.799736831025,"C","B","C","N"
"P02",0.699803127773,"F","C","C","N"
"P02",0.699820616231,"A","F","A","N"
"P02",0.799778391302,"E","A","A","N"
"P02",0.716515959159,"B","A","A","N"
"P02",0.799747047413,"D","F","F","N"
"P02",0.716456308928,"F","A","A","N"
"P02",0.716347218839,"D","C","C","N"
