PID;AAntDirection;AAntAmount;AExpDirection;AExpAmount;BAntDirection;BAntAmount;BExpDirection;BExpAmount;;;;Header;Explanation;Value
1;0;0;0;0;0;0;0;0;;;;AAntDirection:;"A condition; direction of anticipation of the effect";"0: no change; 1: improves; -1: impairs"
2;1;10;1;10;-1;-10;-1;-10;;;;AAntAmount:;"A condition; anticipating the amount of change";from minus 100 till plus 100
3;1;17.5;1;17.5;1;20;1;25;;;;AExpDirection:;"A condition; experienced direction of the effect";"0: no change; 1: improves; -1: impairs"
4;0;0;na.;na.;0;0;-1;-15;;;;AExpAmount;"A condition; experienced amount of change";from minus 100 till plus 100
5;1;20;-1;-15;-1;-20;-1;-10;;;;same logic for B;;
6;1;30;0;0;0;0;0;0;;;;;;
7;1;10;0;0;1;10;1;10;;;;;;
8;0;0;0;0;1;15;0;0;;;;;;
9;1;20;0;0;1;10;-1;-20;;;;;;
10;1;50;1;20;1;50;1;15;;;;;;
11;1;60;1;60;1;60;1;60;;;;;;
12;0;0;0;0;-1;-15;0;0;;;;;;
13;1;30;1;10;-1;na.;0;0;;;;;;
14;1;8;1;8;1;10;0;0;;;;;;
15;0;0;0;0;0;0;0;0;;;;;;
16;1;15;1;15;1;15;1;15;;;;;;
17;1;30;1;20;1;20;0;0;;;;;;
18;-1;-30;1;50;0;0;-1;-30;;;;;;
19;1;50;0;0;1;50;0;0;;;;;;
21;0;0;0;0;0;0;0;0;;;;;;
22;0;0;0;0;0;0;0;0;;;;;;
23;1;10;0;0;0;0;1;10;;;;;;
24;1;30;0;0;1;12.5;0;0;;;;;;
25;0;0;0;0;0;0;-1;-30;;;;;;
26;1;30;1;25;1;15;0;0;;;;;;
27;0;0;1;30;1;30;0;0;;;;;;
28;-1;-30;0;0;0;0;-1;-20;;;;;;
29;1;33.3;1;5;1;10;-1;-5;;;;;;
30;0;0;0;0;1;15;0;0;;;;;;
