Fb3,Fb2,Fb1,Symbol2,Symbol1,PosCond,Pair,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,Version,Session Number,frameRate,expName,StimCondition,date,Participant,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_02/a.jpg,stim_02/b.jpg,2,1,j,0,0,0,10,j,1,1.11631395435,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_02/a.jpg,stim_02/b.jpg,2,1,j,0,1,1,18,j,1,0.783083896047,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_02/c.jpg,stim_02/d.jpg,2,2,j,0,2,2,33,f,0,1.1996617572,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_02/f.jpg,stim_02/e.jpg,1,3,f,0,3,3,48,j,0,1.06632625346,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_02/f.jpg,stim_02/e.jpg,1,3,f,0,4,4,49,j,0,0.916451426488,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_02/e.jpg,stim_02/f.jpg,2,3,j,0,5,5,57,f,0,1.21630930779,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_02/f.jpg,stim_02/e.jpg,1,3,f,0,6,6,41,j,0,0.783077108153,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_02/c.jpg,stim_02/d.jpg,2,2,j,0,7,7,34,f,0,1.08298566257,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_02/a.jpg,stim_02/b.jpg,2,1,j,0,8,8,16,j,1,0.766410114172,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_02/b.jpg,stim_02/a.jpg,1,1,f,0,9,9,1,f,1,1.1163220505,02,02,60.0234848939,PLT_learning_02,A,2014_Jan_27_1754,P01,
