Fb3,Fb2,Fb1,Symbol2,Symbol1,PosCond,Pair,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,Version,Session Number,frameRate,expName,StimCondition,date,Participant,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,0,0,3,f,1,1.31629638273,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,1,1,21,f,1,1.21631447884,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,2,2,4,j,0,1.09969742784,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,3,3,17,j,1,1.06637539267,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,4,4,49,j,0,1.23298725273,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,5,5,9,f,1,0.799786961,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,6,6,25,j,0,0.866443476365,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,7,7,59,f,0,0.783121197585,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,8,8,53,f,0,0.983070524282,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,9,9,38,j,1,1.08303424185,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,10,10,30,j,1,1.24967339193,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,11,11,56,f,0,0.799772446824,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,12,12,0,f,1,0.716466137849,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,13,13,20,f,1,1.0497114939,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,14,14,54,j,1,1.21636646943,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,15,15,45,f,1,1.53287090473,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,16,16,50,j,1,1.01638644221,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,17,17,39,j,1,1.066365498,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,18,18,8,f,1,0.766469554364,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,19,19,34,j,1,0.933126078751,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,20,20,16,j,1,0.733127423102,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,21,21,31,j,1,0.866420544206,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,22,22,57,j,1,1.28296075067,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,23,23,43,f,1,0.849762720581,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,24,24,24,f,1,0.949742113217,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,25,25,41,f,1,0.949727099796,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,26,26,26,f,1,0.766447807159,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,27,27,36,j,1,0.733140860595,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,28,28,44,f,1,1.11639306171,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,29,29,18,j,1,0.666486188826,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,30,30,46,f,1,1.18294886204,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,31,31,52,j,1,0.982876844535,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,32,32,51,j,1,0.733141407959,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,33,33,40,f,1,0.716480185863,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,34,34,35,j,1,1.34959840001,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/c.jpg,stim_03/d.jpg,2,2,j,0,35,35,32,j,1,1.08306998293,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,36,36,1,f,1,0.866425497553,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,37,37,19,j,1,0.6498129187,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,38,38,27,f,1,0.666510904429,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,39,39,58,j,1,0.749813971323,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,40,40,28,f,1,0.699802395471,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/b.jpg,stim_03/a.jpg,1,1,f,0,41,41,6,f,1,0.799831592244,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,42,42,47,f,1,0.799772867873,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/f.jpg,stim_03/e.jpg,1,3,f,0,43,43,42,f,1,0.616508474372,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,44,44,11,j,1,0.716475006955,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/e.jpg,stim_03/f.jpg,2,3,j,0,45,45,55,j,1,0.64989526996,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,46,46,23,f,1,1.03305149886,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/d.jpg,stim_03/c.jpg,1,2,f,0,47,47,22,f,1,0.683168165653,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,48,48,13,j,1,0.683409730754,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,49,49,10,j,1,0.71648899482,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_03/a.jpg,stim_03/b.jpg,2,1,j,0,50,50,15,j,1,0.616485142217,03,03,60.0173122923,PLT_learning_3,B,2014_Jan_31_1408,P01,
