Fb3,Fb2,Fb1,Symbol2,Symbol1,PosCond,Pair,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,Version,Session Number,frameRate,expName,StimCondition,date,Participant,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/a.jpg,stim_01/b.jpg,2,1,j,0,0,0,10,f,0,0.999734176435,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_01/f.jpg,stim_01/e.jpg,1,3,f,0,1,1,49,j,0,1.36628558883,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/d.jpg,stim_01/c.jpg,1,2,f,0,2,2,25,None,0,,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_01/b.jpg,stim_01/a.jpg,1,1,f,0,3,3,9,j,0,1.23296236269,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/a.jpg,stim_01/b.jpg,2,1,j,0,4,4,11,None,0,,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/b.jpg,stim_01/a.jpg,1,1,f,0,5,5,3,j,0,0.949715872813,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/a.jpg,stim_01/b.jpg,2,1,j,0,6,6,14,f,0,1.09966369275,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/c.jpg,stim_01/d.jpg,2,2,j,0,7,7,34,j,1,1.0163851159,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/b.jpg,stim_01/a.jpg,1,1,f,0,8,8,6,j,0,1.14961121195,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/posf.jpg,stim_fb/negf.jpg,stim_01/e.jpg,stim_01/f.jpg,2,3,j,0,9,9,58,f,0,1.33290796911,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
stim_fb/ques.jpg,stim_fb/negf.jpg,stim_fb/posf.jpg,stim_01/e.jpg,stim_01/f.jpg,2,3,j,0,10,10,54,f,0,1.23295882287,01,01,60.016178074,PLT_learning_01,N,2014_Jan_30_1715,P03,
