Fb3,Symbol2,Symbol1,PosCond,tID,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,session,participant,version,frameRate,stimulation,expName,date,
ques.jpg,stim_02/b.jpg,stim_02/e.jpg,2,12,f,0,0,0,26,f,1,0.816491713596,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/e.jpg,1,9,f,0,1,1,8,f,1,1.01637928737,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/e.jpg,2,4,j,0,2,2,18,j,1,0.949729403539,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/b.jpg,1,11,j,0,3,3,10,f,0,0.583176655815,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/d.jpg,2,6,j,0,4,4,20,j,1,0.699824253952,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/f.jpg,2,8,j,0,5,5,22,f,0,1.0830292855,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/e.jpg,2,7,j,0,6,6,21,j,1,0.899795270712,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/f.jpg,2,5,j,0,7,7,19,j,1,0.883088981287,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/d.jpg,1,15,j,0,8,8,14,j,1,0.599837447839,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/c.jpg,2,2,j,0,9,9,16,j,1,0.599871288185,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/f.jpg,2,15,f,0,10,10,29,f,1,0.600004754851,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/d.jpg,1,14,j,0,11,11,13,j,1,0.449920361501,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/a.jpg,1,3,f,0,12,12,2,f,1,0.583206237547,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/e.jpg,2,14,f,0,13,13,28,f,1,0.566543986888,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/b.jpg,1,10,j,0,14,14,9,j,1,0.616507653325,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/f.jpg,2,13,f,0,15,15,27,f,1,1.13301792017,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/b.jpg,1,13,j,0,16,16,12,j,1,1.54953478846,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/a.jpg,1,5,f,0,17,17,4,j,0,0.733125317855,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/a.jpg,1,4,f,0,18,18,3,j,0,1.08300215788,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/b.jpg,2,1,j,0,19,19,15,j,1,0.599886632432,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/b.jpg,1,12,j,0,20,20,11,j,1,0.499886626416,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/f.jpg,2,9,j,0,21,21,23,j,1,0.849738522267,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/d.jpg,2,11,f,0,22,22,25,j,0,0.566530014061,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/c.jpg,1,7,f,0,23,23,6,j,0,0.483210493156,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/a.jpg,1,1,f,0,24,24,0,f,1,1.066343429,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/c.jpg,2,10,f,0,25,25,24,f,1,0.749779905413,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/c.jpg,1,8,f,0,26,26,7,f,1,1.14963346441,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/d.jpg,2,3,j,0,27,27,17,j,1,0.699797718815,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/c.jpg,1,6,f,0,28,28,5,f,1,0.683159107075,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/a.jpg,1,2,f,0,29,29,1,f,1,0.916414441996,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/b.jpg,1,11,j,1,0,30,10,f,0,0.699793135391,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/e.jpg,2,14,f,1,1,31,28,f,1,0.783119453237,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/d.jpg,1,14,j,1,2,32,13,j,1,1.33293940948,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/e.jpg,2,12,f,1,3,33,26,f,1,0.999724768986,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/d.jpg,2,11,f,1,4,34,25,j,0,0.583180944503,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/e.jpg,1,9,f,1,5,35,8,f,1,0.566506769122,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/e.jpg,2,4,j,1,6,36,18,j,1,0.649837471899,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/f.jpg,2,9,j,1,7,37,23,j,1,0.666493647415,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/c.jpg,1,7,f,1,8,38,6,j,0,0.549858951437,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/b.jpg,stim_02/c.jpg,2,10,f,1,9,39,24,f,1,0.749765024324,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/e.jpg,stim_02/a.jpg,1,4,f,1,10,40,3,j,0,0.466536576416,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/a.jpg,1,5,f,1,11,41,4,f,1,0.583269575418,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/b.jpg,1,10,j,1,12,42,9,j,1,0.649793899292,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/b.jpg,2,1,j,1,13,43,15,j,1,0.683167404755,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/d.jpg,2,6,j,1,14,44,20,j,1,0.599843547041,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/f.jpg,2,8,j,1,15,45,22,j,1,0.666423888542,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/a.jpg,stim_02/d.jpg,2,3,j,1,16,46,17,j,1,0.54985051541,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/c.jpg,1,8,f,1,17,47,7,f,1,0.999721232172,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/b.jpg,1,13,j,1,18,48,12,j,1,0.449941374876,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/c.jpg,stim_02/a.jpg,1,2,f,1,19,49,1,f,1,0.666543015466,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/a.jpg,1,3,f,1,20,50,2,f,1,0.633191963969,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/d.jpg,stim_02/f.jpg,2,15,f,1,21,51,29,f,1,0.666497500019,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
ques.jpg,stim_02/f.jpg,stim_02/d.jpg,1,15,j,1,22,52,14,j,1,0.49982877422,03,P16,02,60.0154403677,A,PLT_transfer_02,2014_Mrz_10_1645,
